признак,падение качества,std
fr_ether,0.003118716210382233,0.0008503022858386882
HeavyAtomMolWt,0.0029824517213129925,0.000923994629811057
ExactMolWt,0.00298137877607145,0.00106770593103088
HallKierAlpha,0.0029753546770544537,0.0007862470949802734
NumAromaticRings,0.0029440146630961006,0.0007137084136601301
PEOE_VSA1,0.0028780357113259297,0.0006121845524147166
Chi0,0.002812496184864413,0.0010856842256547698
BCUT2D_LOGPHI,0.0027859189371974846,0.0006014074928763662
Chi1v,0.002739061168841289,0.0012871328639704035
fr_Ar_OH,0.002692819892986531,0.000358531419817437
MinAbsPartialCharge,0.0026801568588507296,0.0005189112841690834
SlogP_VSA11,0.0026798644836455304,0.0006639391892388921
FpDensityMorgan2,0.002672800170440484,0.0015462773823177367
Chi0v,0.0026552126291815026,0.001009996008716604
SMR_VSA10,0.002645823894464147,0.0007991359471673441
fr_NH0,0.0026047262181932568,0.0013896495776958482
SMR_VSA9,0.002594644185509143,0.0008562751560980734
EState_VSA2,0.0025879703474955967,0.0010638344322621935
EState_VSA3,0.0025685537485539423,0.0010537866584408144
fr_oxime,0.002486928138657904,8.861827245743114e-05
Chi4n,0.0024766154764386122,0.0007292918099946409
fr_piperzine,0.0024514917356905502,0.00029351018745696334
VSA_EState8,0.002447898844527535,0.0012859529047594656
SMR_VSA4,0.0024461965360089016,0.0005749256779120562
SMR_VSA1,0.002310370679784901,0.00034056338206630627
MaxAbsPartialCharge,0.002278844338333086,0.0004831698819045483
NumHAcceptors,0.00224243841334687,0.0006683446278362791
SlogP_VSA7,0.0021747554387989143,0.0006529262082879263
BCUT2D_MRHI,0.002150910402822878,0.0004910526495096474
PEOE_VSA9,0.0021335542863183815,0.0007938797940745411
PEOE_VSA10,0.002118741116398065,0.00047650356274118945
SMR_VSA3,0.002106873363806591,0.0005569623516207574
BalabanJ,0.0020257976561032787,0.0008710088189229895
FpDensityMorgan3,0.002017860223207407,0.0008456355098492979
BertzCT,0.001991414260584204,0.00043383486194703953
BCUT2D_MWHI,0.0019524922971679987,0.000720840986832275
fr_methoxy,0.0019458855835089994,0.0003503740963148731
