признак,падение качества,std
fr_sulfide,0.009092565597667773,0.0017726406884733985
fr_Ndealkylation1,0.005770165208940831,0.0013760204577089774
fr_C_S,0.005478620019436498,0.002567137526745605
fr_methoxy,0.005083819241982604,0.002013875567105838
fr_NH2,0.004300291545189683,0.0026784543561853237
fr_quatN,0.004209183673469508,0.002018267286792429
fr_piperdine,0.004166666666666777,0.000968699444603463
fr_piperzine,0.004033041788143954,0.0025830969601558546
fr_bicyclic,0.003948007774538492,0.0009276115743737975
NHOHCount,0.0038568999028184003,0.0012212986699292657
EState_VSA7,0.0038083090379010115,0.001620696109370264
fr_allylic_oxid,0.0033345481049564113,0.0019483266827997649
fr_nitrile,0.0030126336248786217,0.000570813417126883
fr_ArN,0.0029640427599612468,0.0023003810475340407
fr_Imine,0.0028486394557824396,0.0014937122524871168
BCUT2D_CHGHI,0.0025327988338193774,0.0006525653208076551
fr_aryl_methyl,0.0024902818270166466,0.001204953031177624
fr_Ar_NH,0.002459912536443301,0.0009669269264024859
NumHDonors,0.0024234693877551727,0.0011360388083648976
fr_sulfonamd,0.0024052478134111988,0.002450227789024986
Kappa3,0.0023748785228378394,0.0018048150259543164
BCUT2D_MRLOW,0.002314139941691093,0.0013215771766115173
SlogP_VSA7,0.0022169582118563153,0.002220599536311416
fr_urea,0.0021501457725948137,0.001224872967490579
SlogP_VSA10,0.0020529640427600776,0.0009131818938120692
MinAbsEStateIndex,0.001949708454810628,0.0010912510598524642
fr_Ar_OH,0.0019193391642372548,0.0019090088708030267
VSA_EState4,0.0018160835762877497,0.001827484519568129
FractionCSP3,0.0017978620019437619,0.0006414178222761913
SMR_VSA10,0.001712827988338314,0.0016282924986874413
VSA_EState5,0.0015852769679301493,0.000501415289542424
NumSaturatedHeterocycles,0.0015731292517008333,0.0027891048000622184
fr_phenol,0.0015488338192420903,0.0020486737160835948
fr_priamide,0.0015002429543246876,0.0004246056923371252
SPS,0.0014273566569486668,0.0007842336413427177
EState_VSA8,0.0013666180758018787,0.0011640117655297888
fr_sulfone,0.0012876579203111027,0.0008796825554048403
fr_Al_COO,0.0012633624878524152,0.0010284747564877233
Ipc,0.0012208454810497399,0.001125074627080421
fr_aniline,0.0012147716229349986,0.00164618363619872
AvgIpc,0.0012086977648203545,0.0010030328905992886
SlogP_VSA12,0.0011783284742469535,0.0010799176249974662
SlogP_VSA6,0.001117589893100221,0.0007137235578993112
fr_Al_OH_noTert,0.0010386297376094866,0.0008736015578287606
NumAromaticHeterocycles,0.0010325558794948148,0.0005696488866711775
NumSaturatedRings,0.0010325558794947731,0.0006385355491230432
EState_VSA9,0.0010264820213800874,0.001417162696641093
BCUT2D_LOGPLOW,0.0010143343051507853,0.0011443219613983487
fr_imide,0.0009900388726920423,0.0008705557245206097
PEOE_VSA11,0.0009596695821186968,0.0006287543389022057
fr_thiazole,0.0009475218658893392,0.000707076395085313
fr_para_hydroxylation,0.0009414480077746534,0.0004685539654252272
Kappa2,0.0009414480077746534,0.000742477916217928
BCUT2D_LOGPHI,0.0009414480077746396,0.0005187729115302449
PEOE_VSA10,0.0009232264334306378,0.0008499929875867741
PEOE_VSA5,0.0008989310009719503,0.0004797963473793163
SMR_VSA7,0.000874635568513249,0.0007373173423466364
NumAliphaticHeterocycles,0.0008564139941692472,0.0010954350871793745
RingCount,0.0008564139941692056,0.000796185268289381
PEOE_VSA3,0.0008503401360545476,0.0009808857744502645
fr_COO,0.0007896015549078012,0.0008323623670129291
VSA_EState6,0.0007713799805637855,0.0005424128735268594
NumAromaticCarbocycles,0.0007410106899904123,0.0006998391992630801
EState_VSA3,0.0007227891156463828,0.0011793768441984557
fr_Al_OH,0.0007045675413023395,0.0014243423913605376
fr_ether,0.0006984936831876676,0.0007747681609712322
fr_unbrch_alkane,0.0006863459669583377,0.0009303715314300162
PEOE_VSA13,0.0006256073858115774,0.0004119043205341782
fr_amidine,0.0006195335276968916,0.001953290821387888
PEOE_VSA6,0.0005770165208942163,0.002401617630896912
EState_VSA2,0.0005770165208941885,0.0004806797741362175
VSA_EState9,0.0005527210884355288,0.0009871654570394687
EState_VSA10,0.000552721088435501,0.0005723302102237405
fr_imidazole,0.0005466472303208292,0.0004371490334170689
MinPartialCharge,0.0005405733722061434,0.0006503000520752562
fr_lactone,0.0005284256559768274,0.0012872997420685325
fr_halogen,0.0005223517978621139,0.0004171109016858321
fr_oxime,0.0005102040816327563,0.00034615662897899494
BalabanJ,0.0005041302235181261,0.0008890061932321579
fr_Ndealkylation2,0.0005041302235180983,0.0006518865667148878
NumHAcceptors,0.0004859086491740966,0.0008644532009065747
SMR_VSA2,0.00048590864917406884,0.0009850891609675951
BertzCT,0.00046768707483005323,0.0005480962869518236
SlogP_VSA3,0.00046161321671539524,0.0005749348671622767
SlogP_VSA1,0.0004616132167153397,0.0007613430328470705
NumAliphaticRings,0.0004373177842566939,0.0012045243203343584
SlogP_VSA11,0.00043731778425668,0.0010816243580929394
VSA_EState8,0.0004312439261419526,0.0010366031410685033
Chi1,0.0004190962099126644,0.0006455171131165724
TPSA,0.00040694849368332064,0.0008929810905418827
SMR_VSA9,0.00040087463556866265,0.000683194299836666
HeavyAtomMolWt,0.0004008746355686488,0.0006301609499194746
ExactMolWt,0.00038265306122457765,0.0007221252800826184
MolWt,0.00038265306122457765,0.0007221252800826184
VSA_EState3,0.0003705053449952894,0.0006961128987004754
LabuteASA,0.00037050534499527554,0.0006684280165301622
MaxAbsPartialCharge,0.0003583576287659318,0.0009940180101256286
NumAromaticRings,0.0003583576287658763,0.0004822123135710329
fr_NH1,0.0003340621963072443,0.0010836518677855627
NumRotatableBonds,0.0002854713313897861,0.001047084518791271
fr_Ar_N,0.00027939747327515585,0.000407808803002761
NumValenceElectrons,0.0002733236151604562,0.0006264913038133432
Chi0,0.00026117589893112636,0.000595083129706002
HeavyAtomCount,0.0002611758989311125,0.0006363073019848826
BCUT2D_MWHI,0.000236880466472425,0.0006566231112792602
Kappa1,0.00016399416909634867,0.0006811121687319707
BCUT2D_CHGLO,0.00015184645286697718,0.001607255791126249
VSA_EState2,0.0001336248785230032,0.0006062915312666974
fr_C_O,0.00013362487852296157,0.0006844890469863837
qed,0.00011540330417895983,0.0004379500207934873
EState_VSA5,9.110787172018908e-05,0.001366267096707578
PEOE_VSA8,6.681243926158487e-05,0.0006956887951511194
fr_furan,6.681243926152935e-05,0.0019257770362201842
fr_pyridine,4.859086491752762e-05,0.0012766088100504764
fr_hdrzone,4.2517006802897384e-05,0.0025149513460983883
SMR_VSA4,4.251700680284187e-05,0.0015018896153918212
fr_C_O_noCOO,3.644314868817e-05,0.0006973043070245885
VSA_EState10,3.6443148688142246e-05,0.0007819016055273869
BCUT2D_MRHI,1.8221574344140512e-05,0.0003339517442636377
SMR_VSA3,6.073858114852282e-06,0.00043828684070159273
SlogP_VSA2,6.073858114782893e-06,0.0011930609719293288
fr_alkyl_carbamate,0.0,0.0
fr_azo,-1.2147716229191086e-05,0.0013024142103121783
SMR_VSA5,-1.8221574343890712e-05,0.0005916012635147048
MolMR,-1.822157434390459e-05,0.0008674991972044251
SlogP_VSA4,-3.0369290573234453e-05,0.0006780722012634352
PEOE_VSA9,-4.859086491726394e-05,0.0015944542769222151
fr_ketone,-6.681243926127955e-05,0.0018798664457561258
SlogP_VSA5,-7.896015549063717e-05,0.0008850134434825797
Chi0v,-7.896015549065105e-05,0.0008606680523775333
HallKierAlpha,-7.896015549067881e-05,0.00043996707243623115
Chi1v,-9.110787171998092e-05,0.0007626744128700294
PEOE_VSA4,-9.718172983466666e-05,0.0010304815384085916
NOCount,-0.00010932944606398265,0.0005910085546729707
PEOE_VSA1,-0.00012147716229335415,0.0010284747564876808
EState_VSA4,-0.00013969873663739751,0.0012939313733896032
Chi3n,-0.00015184645286672738,0.0005291930578221391
fr_ketone_Topliss,-0.00015792031098141313,0.0025319466024317223
Chi1n,-0.00018828960155478636,0.0011404467242108309
fr_nitro_arom,-0.00020651117589881585,0.0009915840785783383
SlogP_VSA8,-0.00021258503401348772,0.0006146012144430809
Chi0n,-0.00021258503401352935,0.0008363197556547598
fr_thiophene,-0.00027939747327483666,0.0007946315083297334
SMR_VSA1,-0.00027939747327489217,0.000998997340261215
MaxPartialCharge,-0.0002976190476189633,0.0006877957116682925
fr_ester,-0.00034013605442162476,0.001354674621909712
MaxAbsEStateIndex,-0.0003462099125362966,0.0006503000520752677
EState_VSA6,-0.00035835762876564037,0.0005464784859949276
BCUT2D_MWLOW,-0.0003705053449950396,0.0005043497127774413
MinAbsPartialCharge,-0.0003826530612244111,0.0003882996163368573
SMR_VSA6,-0.00040694849368305697,0.0011037555614413122
PEOE_VSA14,-0.0004859086491738329,0.0003158406219631081
fr_nitro_arom_nonortho,-0.0004980563654031767,0.0010661654068963285
Chi3v,-0.0005284256559765221,0.0007971114423573227
NumHeteroatoms,-0.0005466472303205377,0.0006380731771947918
FpDensityMorgan3,-0.0005891642371232547,0.0007870510876057003
PEOE_VSA2,-0.0006073858114673397,0.000602017089084726
NumAliphaticCarbocycles,-0.0006073858114673536,0.0014307513959509587
PEOE_VSA12,-0.0006256073858113137,0.0013129512231091203
MinEStateIndex,-0.0006256073858113276,0.0006916468414837578
MolLogP,-0.0006377551020406574,0.001547380174952249
Chi2v,-0.0007106413994168309,0.0009503016399706864
fr_alkyl_halide,-0.000716715257531475,0.0005036543353165143
Chi4v,-0.000722789115646133,0.0015458535705326038
fr_morpholine,-0.0007896015549075652,0.0016838943224705275
fr_amide,-0.0007956754130222232,0.0009403109218251341
VSA_EState1,-0.000801749271136909,0.0006653578200986045
fr_NH0,-0.0008503401360542978,0.0013544567409879838
EState_VSA1,-0.0008807094266276849,0.0007274190021115515
NumSaturatedCarbocycles,-0.0008867832847423568,0.0007307838310347063
EState_VSA11,-0.0009839650145771345,0.0005675727107008638
Chi2n,-0.0010629251700679104,0.0007556768061520726
Chi4n,-0.001075072886297268,0.0012004592970574891
VSA_EState7,-0.001147959183673386,0.0018842572433066878
FpDensityMorgan2,-0.0012208454810494346,0.0009504569116746607
FpDensityMorgan1,-0.0017735665694848107,0.0012030532947658345
fr_nitro,-0.002077259475218543,0.0010420871477778964
PEOE_VSA7,-0.0023384353741495167,0.0015521411362353923
